DIAMANTI A.;Tre ;-999;0;0;0;1;0;0;0;0;6.5
NESTOROVSKI I.;Att  ;-999;1;0;0;0;0;0;0;0;7.0
GAZZI A.;Cen ;-999;0;0;0;0;0;0;0;0;6.0
JAJALO M.;Cen ;-999;0;0;1;0;0;0;0;0;6.0
BALOGH N.;Att ;-999;0;0;0;0;0;0;0;0;0
BIZZARRI A.;Por  ;-999;0;0;0;0;0;0;0;0;7.0
BIRAGHI C.;Dif  ;-999;0;0;0;1;0;0;0;0;6.0
FORNASIER M.;Dif ;-999;0;0;0;1;0;0;0;0;6.5
CRESCENZI A.;Dif  ;-999;0;0;0;0;0;0;0;0;6.0
CAMPAGNARO H.;Dif  ;-999;0;0;0;0;0;0;0;0;6.0
MEMUSHAJ L.;Cen  ;-999;0;0;0;0;0;0;0;0;6.5
AQUILANI A.;Cen  ;-999;0;0;0;0;0;0;0;0;6.5
VERRE V.;Cen  ;-999;0;0;0;0;0;0;0;0;6.5
CRISTANTE B.;Cen ;-999;0;0;0;0;0;0;0;0;5.5
BENALI A.;Tre ;-999;0;0;0;0;0;0;0;0;6.0
CAPRARI G.;Tre  ;-999;0;0;0;1;0;0;0;0;5.5
ZAMPANO F.;Dif ;-999;0;0;0;0;0;0;0;0;6.5
MITRITA A.;Tre ;-999;0;0;0;0;0;0;0;0;6.0
MANAJ R.;Att ;-999;0;0;0;0;0;0;0;0;5.0
SZCZESNY W.;Por  ;-999;0;0;0;0;0;0;0;0;7.0
FLORENZI A.;Dif ;-999;0;0;1;0;0;0;0;0;6.0
PERES B.;Dif  ;-999;0;0;0;0;0;0;0;0;7.0
FAZIO F.;Dif  ;-999;0;0;0;0;0;0;0;0;6.0
MANOLAS K.;Dif ;-999;0;0;0;0;0;0;0;0;6.5
STROOTMAN K.;Cen  ;-999;0;0;0;0;0;0;0;0;7.0
PAREDES L.;Cen  ;-999;0;0;0;0;0;0;0;0;6.5
SALAH M.;Tre ;-999;1;0;1;0;0;0;0;0;7.5
EL SHAARAWY S.;Tre  ;-999;1;0;1;0;0;0;0;0;7.5
TOTTI F.;Att  ;-999;0;0;1;0;0;0;0;0;7.0
DZEKO E.;Att  ;-999;2;0;0;0;0;0;0;0;8.0
JESUS J.;Dif ;-999;0;0;0;0;0;0;0;0;6.0
EMERSON P.;Dif ;-999;0;0;0;0;0;0;0;0;0
ITURBE J.;Tre ;-999;0;0;0;0;0;0;0;0;6.0
VIVIANO E.;Por  ;-999;0;2;0;0;0;0;0;0;6.0
PEREIRA P.;Dif  ;-999;0;0;0;1;0;0;0;0;4.5
SKRINIAR M.;Dif  ;-999;0;0;0;0;0;0;0;0;5.0
SILVESTRE M.;Dif  ;-999;0;0;0;0;0;0;0;0;6.5
REGINI V.;Dif  ;-999;0;0;0;0;0;0;0;0;5.5
LINETTY K.;Cen  ;-999;0;0;0;1;0;0;0;0;6.0
BARRETO E.;Cen  ;-999;0;0;0;0;1;0;0;0;4.5
TORREIRA L.;Cen ;-999;0;0;0;0;0;0;0;0;5.0
PRAET D.;Tre  ;-999;0;0;0;1;0;0;0;0;6.0
MURIEL L.;Att ;-999;0;0;0;0;0;0;0;0;5.5
QUAGLIARELLA F.;Att ;-999;0;0;0;0;0;0;0;0;5.0
CIGARINI L.;Cen ;-999;0;0;0;0;0;0;0;0;6.0
FERNANDES B.;Cen ;-999;0;0;0;0;0;0;0;0;6.0
SCHICK P.;Att ;-999;0;0;0;0;0;0;0;0;5.0
CONSIGLI A.;Por  ;-999;0;2;0;0;0;0;0;0;6.0
ACERBI F.;Dif  ;-999;0;0;0;0;0;0;0;0;6.0
CANNAVARO P.;Dif ;-999;0;0;0;0;0;0;0;0;6.0
LETSCHERT T.;Dif  ;-999;0;0;0;0;0;0;0;0;5.5
PELUSO F.;Dif  ;-999;0;0;0;0;0;0;0;0;6.0
MAGNANELLI F.;Cen  ;-999;0;0;0;0;0;0;0;0;6.0
DUNCAN A.;Cen ;-999;0;0;0;0;0;0;0;0;6.0
BIONDINI D.;Cen  ;-999;0;0;0;1;0;0;0;0;6.0
RICCI F.;Tre  ;-999;0;0;0;0;0;0;0;0;5.0
DEFREL G.;Att  ;-999;1;0;0;0;0;0;0;0;6.5
MATRI A.;Att ;-999;0;0;0;0;0;0;0;0;6.0
ANTEI L.;Dif ;-999;0;0;0;0;0;0;0;0;6.0
POLITANO M.;Tre ;-999;0;0;0;0;0;0;0;0;5.5
IEMMELLO P.;Att ;-999;0;0;0;0;0;0;0;0;5.5
HART J.;Por  ;-999;0;0;0;1;0;0;0;0;6.5
BOVO C.;Dif  ;-999;0;0;0;0;0;0;0;0;7.0
MORETTI E.;Dif  ;-999;0;0;0;0;0;0;0;0;6.5
ZAPPACOSTA D.;Dif  ;-999;0;0;0;0;0;0;0;0;6.5
